	时间	踩	赞	评分	所看话数	内容
lucky一夏	1539402720	0	0	10	6	最后的撒狗粮我吃了
风油精厂商-扁鹊	1539402058	0	0	10	13	超级好
-菁涵-	1539401659	0	0	10	13	完结撒花，感谢陪伴
林里个木木个林小木木	1539400617	0	0	10	13	这个动画真的好看呢！！！在里面也学习了很多新知识！！！还有癌细胞是真帅气！！
深潜为明天	1539400327	0	0	10	13	暖心的，有意义的番，帅帅的白细胞，天然呆的红细胞，呆萌的血小板，腹黑的树状细胞，御姐的巨噬细胞，都好喜欢(??ω?)?嘿
Ene_O_o	1539399879	0	0	10	13	这部番让我对生物重拾了兴趣，忘不了他们了
dhdung	1539398088	0	0	10	13	完结撒花ヽ(○??`)?
山西土豪	1539396595	0	0	10	13	不错不错，励志。
微笑服魅众生	1539396424	0	0	10	12	特别喜欢的科普番，大概是寓教于乐吧，对于理科狗来说超级棒呢
熊喵酱(?????)	1539396208	0	0	10	13	感谢陪伴！ヽ(°▽°)ノ完结撒花！
糖分不是非糖	1539394342	0	0	10	13	很有意义打番 最后两集泪目QAQ
创世为神	1539393126	0	0	10	13	非常棒
相爱即正义	1539392899	0	0	10	13	期待第二季
蓝音之恋	1539392794	0	0	10	13	结尾有点平常，内容挺好看的。血小板我抱走了。
动态有福利的叶夜酱	1539391739	0	0	10	5	我永远喜欢巨噬细胞
浅浅的旧城时光	1539389698	0	0	10	12	这个五星是绝对没有毛病的！
CrisxCC	1539372274	1	0	10	13	人物设定都很能抓住特点，富有特色、鲜明有趣，后面的一些集数节奏虽有一点拖沓，但非常能够理解，也不会感到无聊。总之看起来非常开心，真正的寓教于乐，而且也不显得过于幼稚，老少皆宜。给个满分以示鼓励。
ちょう-たからもの	1539363125	1	0	10	11	当你不知所措，不知道该为谁而活下去的时候，你要记得：你的身体里还有三十七亿兆个细胞在为你而活着。所以，好好活着吧！●ｖ●
爆坑数据	1539352495	1	0	10	13	完结撒花，这部番让我初中三年级所有知识都预习了一遍。
红海花时久伴宇	1539337697	1	0	10	5	超级喜欢！虽然路痴但是很热血的红细胞，总在关键时刻出现的暖男白细胞，还有超级超级可爱的血小板！t细胞、巨噬细胞、树突细胞…难过的时候想到身体里为了我工作的细胞们顿时觉得被治愈了！超爱《工作细胞》！
凉亭不临水	1539240148	2	0	10	13	太感動了，第一次體會到血液的重要，雖然一直都知道獻血救人，但直到現在才有深刻的了解，原來獻血是這麼重要的事。
Kyoko_Toshinou	1538907764	0	0	10	13	一部优秀的片子，用拟人的手法来科普人体十分有趣。
顾夏时Natsuki	1537012482	0	0	10	13	已补番，很好的一部番(我实在想不出打什么话了)完结撒花，感谢陪伴(⌒▽⌒)2018/10/13一周目
RELEASE-THESPYCE	1535880415	0	0	10	13	这是一部很好的学习番，不光给学医的巩固知识，还可以给其他人学习人体的一些知识，还可以给刚刚开始学医的做学习资料，毕竟老是看三次元的细胞，很多人都觉得无聊，拟人化的细胞可以让一些人激起学习兴趣
Timeless倒影	1531330072	1	0	10	13	很不错，又可爱又能长见识
夜幽冥殇	1539388727	0	0	10	13	新来的细胞真是太硬核了
逻辑不符合逻辑	1539373390	0	0	10	7	不多说了，看吧！
草非君	1539367591	0	0	10	13	这样完结了总有点空落落的……总之期待第二季！
鱼与茄子	1539365697	0	0	10	13	寓教于乐
文学系少年JoJo桑	1539364350	0	0	10	13	你的细胞都没有放弃你，你还有理由放弃自己吗？
人形自走炮_	1539362825	0	0	10	13	工作细胞让我感到有那么多细胞努力的不求回报的只为我一人工作，莫名一丝感动，谢谢你们，我爱你们
Diemeng在发现	1539362189	0	0	10	13	欢乐的动画还能学到知识
不怎么老实的老实人	1539361031	0	0	10	12	:-D
无敌的饵块	1539360399	0	0	10	13	啊。终于看完了。这是一部很好的科普番(??)，很形象，也很好看。情节曲折动人................
小坏坏丶bilibili	1539360069	0	0	10	13	从自闭飞扬过来，感觉已经自闭的三观得到了纠正。。作为一个全龄向的作品真的很棒，最后的燃点铺垫的也很自然很燃爆。嗯，我们或许会迷路，但我们的心从未忘记最初的方向！
子爵孑	1539359643	0	0	10	13	教学番，受益匪浅！！！满分推荐，搞笑的内容，夹带教学
白小SAMA	1539358737	0	0	10	13	内牛满面
非彼即我	1539358633	0	0	10	13	好看很好看，身为文科生终于懂了点理科知识(=^▽^=)，喜欢红细胞，喜欢白细胞，喜欢血小板，喜欢。。。。。。。（才不承认是我记性差）很好看，希望有第二季，第三季，等等
肥宅自有肥宅爱	1539357837	0	0	10	13	我觉得应该科普些日常病比较好，比如流行感冒，病毒性感冒，咳嗽，割伤什么的，会不会有第二季呢，期待
无聊的无聊菌	1539357159	0	0	8	13	血小板戏份好少，不开心
雾都雾	1539357013	0	0	10	13	很吸引人了  还可以涨知识的说  棒棒棒
夏翔哥	1539356762	0	0	10	13	很棒的番，算是我看过的番剧中很好的了（不怎么会说话），完结撒花，期待其他作品（或者有下一季也可以）加油！
