SN_CODE,SN_CITY,SN_PROV,SN_LEVEL,SN_LNG,SN_NAME,SN_LAT,ST_PRICEURL,SN_THEME
1000063,乌海,内蒙古,非A级,106.82143503,乌海蒙根花游乐园,39.80187009,110,儿童乐园
1000064,呼伦贝尔,内蒙古,非A级,122.73309054,牧人寨旅游度假区,48.69361516,60,
1000065,赤峰,内蒙古,非A级,118.89837927,赤峰梦幻海欢乐世界,42.27357157,34,
1000066,赤峰,内蒙古,非A级,117.17026479,诺根塔拉野生动物乐园,42.56767174,65,
1000067,赤峰,内蒙古,4A,116.67215421,达里湖—北岸景区 景区,43.40711092,70,
1000068,鄂尔多斯,内蒙古,4A,108.54111091,库布其国家沙漠公园（七星湖景区） 景区,40.64743238,99,河流湖泊
1000069,呼伦贝尔,内蒙古,2A,120.04076854,哈乌尔河景区 景区,50.96445808,45,公园
1000070,呼伦贝尔,内蒙古,4A,120.68019722,莫尔道嘎森林公园 景区,51.33709213,155,
1000071,乌兰察布市,内蒙古,非A级,113.18835432,霸王河欢乐世界,41.00244129,88,
1000072,呼和浩特,内蒙古,4A,111.66065859,大召寺 景区,40.80475987,34,
1000073,呼伦贝尔,内蒙古,非A级,119.54224367,诺干湖景区,47.94852125,40,
1000074,鄂尔多斯,内蒙古,4A,106.66270805,马兰花草原 景区,38.36355365,80,
1000075,鄂尔多斯,内蒙古,,109.87279500,鄂尔多斯国际赛车场,39.62484000,,
1000076,阿拉善盟,内蒙古,非A级,101.28604948,策克口岸,42.59167243,29,
1000077,巴彦淖尔市,内蒙古,非A级,108.27085746,宇鑫温泉水世界,41.09508702,55,水世界
1000078,包头,内蒙古,4A,109.4540167,梅力更 景区,40.67026922,48,山岳
1000079,兴安盟,内蒙古,5A,120.30613891,阿尔山国家森林公园 景区,47.28058431,275,
1000080,乌兰察布市,内蒙古,4A,112.66938356,岱海旅游度假区 景区,40.6130473,100,
1000081,通辽,内蒙古,4A,121.78314602,库伦三大寺 景区,42.73673168,45,
1000082,呼伦贝尔,内蒙古,4A,119.72792896,世界反法西斯战争海拉尔纪念园 景区,49.25048933,45,历史遗迹
1000083,呼和浩特,内蒙古,非A级,110.99633071,哈素海天鹅堡温泉,40.6282771,228,温泉
1000084,呼和浩特,内蒙古,非A级,111.81932055,都市现代农业园,40.71932009,25,
1000085,兴安盟,内蒙古,3A,120.109986,阿尔山奥伦布坎风景区 景区,47.05194276,60,历史遗迹
1000086,包头,内蒙古,非A级,109.83455094,包头乐园,40.64340962,49,游乐场
1000087,通辽,内蒙古,,122.27240219,通辽,43.62567280,,
1000088,乌兰察布市,内蒙古,,113.13028207,乌兰察布草原,40.99663978,,
1000089,鄂尔多斯,内蒙古,5A,109.96750402,鄂尔多斯响沙湾 景区,40.2487078,120,沙漠
1000090,乌兰察布市,内蒙古,非A级,112.60755392,辉腾锡勒草原国际马术演艺小镇,41.18012108,120,
1000091,呼伦贝尔,内蒙古,,119.276081,可汗宫,49.268386,,草原沙漠
1000092,呼伦贝尔,内蒙古,,117.68575,猛犸象公园儿童科技馆,49.501779,,
1000094,呼伦贝尔,内蒙古,,119.769199,森林原生态舞台剧敖鲁古雅,49.200642,,赛事演出
1000095,呼伦贝尔,内蒙古,,119.441657,巴尔虎狼岛,49.324807,,动植物园
1000096,包头,内蒙古,,109.780628,芝麻开门威尼斯水上乐园,40.706203,128,漂流戏水
1000097,呼伦贝尔,内蒙古,,119.269109,中俄边境湿地,49.420296,,田园度假
1000098,呼和浩特,内蒙古,,111.724685,御府汤泉,40.851255,22,
1000099,赤峰,内蒙古,,119.402271,辽上京遗址,43.969905,,古迹遗址
