province,year,month,city,price
浙江,2018,10,金华,"16,439"
浙江,2018,10,舟山,"15,646"
浙江,2018,10,台州,"13,871"
浙江,2018,10,衢州,"13,168"
浙江,2018,10,绍兴,"12,819"
浙江,2018,10,嘉兴,"12,792"
安徽,2018,10,合肥,"15,616"
安徽,2018,10,芜湖,"11,059"
安徽,2018,10,黄山,"9,197"
安徽,2018,10,安庆,"8,278"
安徽,2018,10,阜阳,"8,035"
安徽,2018,10,池州,"8,024"
安徽,2018,10,铜陵,"7,992"
安徽,2018,10,蚌埠,"7,308"
安徽,2018,10,宣城,"7,295"
安徽,2018,10,六安,"7,151"
福建,2018,10,厦门,"43,809"
福建,2018,10,福州,"27,295"
福建,2018,10,莆田,"13,002"
福建,2018,10,漳州,"12,748"
福建,2018,10,泉州,"12,154"
福建,2018,10,龙岩,"10,754"
福建,2018,10,宁德,"10,127"
福建,2018,10,三明,"8,711"
福建,2018,10,南平,"7,495"
江西,2018,10,南昌,"11,635"
江西,2018,10,赣州,"8,301"
江西,2018,10,吉安,"7,684"
江西,2018,10,上饶,"7,583"
江西,2018,10,宜春,"7,472"
江西,2018,10,抚州,"6,996"
江西,2018,10,九江,"6,830"
江西,2018,10,景德镇,"6,596"
江西,2018,10,鹰潭,"5,756"
江西,2018,10,萍乡,"5,148"
山东,2018,10,青岛,"22,683"
山东,2018,10,济南,"19,102"
山东,2018,10,烟台,"10,403"
山东,2018,10,淄博,"9,555"
山东,2018,10,威海,"9,299"
山东,2018,10,日照,"8,984"
山东,2018,10,滨州,"8,393"
山东,2018,10,聊城,"8,379"
山东,2018,10,泰安,"8,342"
山东,2018,10,德州,"8,179"
河南,2018,10,郑州,"14,557"
河南,2018,10,洛阳,"9,075"
