,team_name,game_time,game_rst,host_guest,rival,shot_rate,rebounds,assists,scores,season,game_time1,days
55,洛杉矶湖人,1986-02-24,负,客,老鹰102-93湖人,42.0%,41,15,93,1985,1986-02-23,1
56,洛杉矶湖人,1986-02-26,胜,客,小牛116-119湖人,65.4%,36,28,119,1985,1986-02-24,2
57,洛杉矶湖人,1986-02-28,胜,主,太阳103-115湖人,50.6%,36,29,115,1985,1986-02-26,2
58,洛杉矶湖人,1986-03-01,负,客,太阳123-106湖人,42.2%,51,17,106,1985,1986-02-28,1
59,洛杉矶湖人,1986-03-03,胜,主,勇士117-127湖人,55.8%,44,36,127,1985,1986-03-01,2
60,洛杉矶湖人,1986-03-05,胜,主,爵士84-130湖人,62.7%,42,35,130,1985,1986-03-03,2
61,洛杉矶湖人,1986-03-06,胜,客,勇士111-112湖人,53.4%,45,28,112,1985,1986-03-05,1
62,洛杉矶湖人,1986-03-08,胜,主,国王121-122湖人,44.3%,50,32,122,1985,1986-03-06,2
63,洛杉矶湖人,1986-03-09,胜,客,超音速106-108湖人,61.6%,35,24,108,1985,1986-03-08,1
64,洛杉矶湖人,1986-03-11,胜,主,快船108-129湖人,55.4%,51,44,129,1985,1986-03-09,2
65,洛杉矶湖人,1986-03-13,胜,主,超音速92-105湖人,54.2%,43,31,105,1985,1986-03-11,2
66,洛杉矶湖人,1986-03-16,胜,主,火箭111-116湖人,58.9%,38,30,116,1985,1986-03-13,3
67,洛杉矶湖人,1986-03-18,胜,主,开拓者122-128湖人,57.3%,37,34,128,1985,1986-03-16,2
68,洛杉矶湖人,1986-03-19,负,客,快船115-114湖人,51.0%,35,34,114,1985,1986-03-18,1
69,洛杉矶湖人,1986-03-21,胜,客,马刺109-117湖人,48.4%,45,26,117,1985,1986-03-19,2
70,洛杉矶湖人,1986-03-22,胜,客,国王113-115湖人,55.8%,37,29,115,1985,1986-03-21,1
71,洛杉矶湖人,1986-03-24,胜,主,马刺102-124湖人,48.5%,54,33,124,1985,1986-03-22,2
72,洛杉矶湖人,1986-03-25,胜,客,掘金115-121湖人,58.1%,53,30,121,1985,1986-03-24,1
73,洛杉矶湖人,1986-03-29,负,客,超音速88-87湖人,43.8%,29,17,87,1985,1986-03-25,4
74,洛杉矶湖人,1986-03-30,胜,主,勇士117-124湖人,55.4%,41,35,124,1985,1986-03-29,1
75,洛杉矶湖人,1986-04-01,胜,主,超音速104-109湖人,46.7%,55,20,109,1985,1986-03-30,2
76,洛杉矶湖人,1986-04-03,胜,主,国王105-135湖人,58.8%,55,34,135,1985,1986-04-01,2
77,洛杉矶湖人,1986-04-06,负,客,火箭109-103湖人,49.4%,35,33,103,1985,1986-04-03,3
78,洛杉矶湖人,1986-04-08,胜,客,开拓者114-120湖人,56.6%,32,28,120,1985,1986-04-06,2
79,洛杉矶湖人,1986-04-10,胜,主,火箭113-117湖人,53.9%,43,30,117,1985,1986-04-08,2
80,洛杉矶湖人,1986-04-12,胜,客,国王92-105湖人,51.1%,51,24,105,1985,1986-04-10,2
81,洛杉矶湖人,1986-04-13,负,主,小牛127-104湖人,43.6%,38,29,104,1985,1986-04-12,1
82,洛杉矶湖人,1986-11-01,负,客,火箭112-102湖人,47.5%,44,29,102,1986,1986-04-13,202
83,洛杉矶湖人,1986-11-04,胜,客,超音速96-110湖人,49.3%,45,22,110,1986,1986-11-01,3
84,洛杉矶湖人,1986-11-07,胜,主,掘金116-138湖人,55.8%,50,40,138,1986,1986-11-04,3
85,洛杉矶湖人,1986-11-09,胜,主,尼克斯88-111湖人,50.0%,42,36,111,1986,1986-11-07,2
86,洛杉矶湖人,1986-11-12,胜,主,超音速97-122湖人,47.3%,50,26,122,1986,1986-11-09,3
87,洛杉矶湖人,1986-11-16,胜,主,国王111-113湖人,49.4%,40,35,113,1986,1986-11-12,4
88,洛杉矶湖人,1986-11-18,胜,客,小牛110-114湖人,51.2%,41,22,114,1986,1986-11-16,2
89,洛杉矶湖人,1986-11-19,胜,客,马刺108-117湖人,52.2%,49,31,117,1986,1986-11-18,1
90,洛杉矶湖人,1986-11-21,胜,主,篮网95-111湖人,50.0%,52,39,111,1986,1986-11-19,2
91,洛杉矶湖人,1986-11-23,胜,主,雄鹿117-127湖人,59.5%,36,36,127,1986,1986-11-21,2
92,洛杉矶湖人,1986-11-25,负,主,老鹰113-107湖人,45.1%,35,33,107,1986,1986-11-23,2
93,洛杉矶湖人,1986-11-26,胜,客,快船92-126湖人,60.7%,46,36,126,1986,1986-11-25,1
94,洛杉矶湖人,1986-11-28,胜,主,公牛103-110湖人,46.5%,39,21,110,1986,1986-11-26,2
95,洛杉矶湖人,1986-11-30,胜,主,快船115-137湖人,61.8%,52,44,137,1986,1986-11-28,2
96,洛杉矶湖人,1986-12-04,负,客,勇士116-106湖人,47.6%,46,20,106,1986,1986-11-30,4
97,洛杉矶湖人,1986-12-05,胜,主,小牛104-112湖人,48.8%,47,31,112,1986,1986-12-04,1
98,洛杉矶湖人,1986-12-07,胜,主,勇士100-132湖人,52.6%,45,37,132,1986,1986-12-05,2
99,洛杉矶湖人,1986-12-09,胜,客,尼克斯87-113湖人,52.9%,49,28,113,1986,1986-12-07,2
100,洛杉矶湖人,1986-12-10,负,客,雄鹿116-93湖人,47.5%,33,25,93,1986,1986-12-09,1
101,洛杉矶湖人,1986-12-12,胜,客,凯尔特110-117湖人,51.5%,38,22,117,1986,1986-12-10,2
102,洛杉矶湖人,1986-12-13,负,客,活塞119-114湖人,44.2%,46,23,114,1986,1986-12-12,1
103,洛杉矶湖人,1986-12-16,胜,客,骑士116-121湖人,54.9%,45,26,121,1986,1986-12-13,3
104,洛杉矶湖人,1986-12-18,胜,主,开拓者115-131湖人,56.8%,43,41,131,1986,1986-12-16,2
105,洛杉矶湖人,1986-12-20,负,客,小牛130-119湖人,48.3%,49,21,119,1986,1986-12-18,2
106,洛杉矶湖人,1986-12-21,胜,客,火箭96-103湖人,45.2%,48,21,103,1986,1986-12-20,1
107,洛杉矶湖人,1986-12-23,胜,客,国王117-127湖人,49.0%,60,19,127,1986,1986-12-21,2
108,洛杉矶湖人,1986-12-26,胜,主,火箭111-134湖人,60.7%,30,37,134,1986,1986-12-23,3
109,洛杉矶湖人,1986-12-28,胜,主,76人85-111湖人,52.2%,42,33,111,1986,1986-12-26,2
110,洛杉矶湖人,1987-01-01,胜,客,开拓者104-140湖人,60.9%,51,35,140,1986,1986-12-28,4
111,洛杉矶湖人,1987-01-02,胜,主,太阳118-155湖人,65.6%,39,42,155,1986,1987-01-01,1
112,洛杉矶湖人,1987-01-04,胜,主,爵士113-121湖人,50.0%,47,39,121,1986,1987-01-02,2
113,洛杉矶湖人,1987-01-07,胜,主,掘金109-147湖人,59.6%,54,39,147,1986,1987-01-04,3
114,洛杉矶湖人,1987-01-08,负,客,爵士107-101湖人,38.7%,56,18,101,1986,1987-01-07,1
115,洛杉矶湖人,1987-01-10,负,客,勇士124-109湖人,46.9%,40,19,109,1986,1987-01-08,2
116,洛杉矶湖人,1987-01-11,胜,主,马刺109-111湖人,56.9%,29,27,111,1986,1987-01-10,1
117,洛杉矶湖人,1987-01-15,胜,主,勇士109-129湖人,53.2%,52,32,129,1986,1987-01-11,4
118,洛杉矶湖人,1987-01-18,胜,客,子弹101-115湖人,50.0%,52,23,115,1986,1987-01-15,3
119,洛杉矶湖人,1987-01-19,胜,客,篮网115-126湖人,54.7%,30,23,126,1986,1987-01-18,1
120,洛杉矶湖人,1987-01-21,胜,客,老鹰109-112湖人,46.8%,47,29,112,1986,1987-01-19,2
121,洛杉矶湖人,1987-01-22,胜,客,步行者108-118湖人,51.8%,42,24,118,1986,1987-01-21,1
122,洛杉矶湖人,1987-01-24,负,客,小牛132-117湖人,56.4%,36,23,117,1986,1987-01-22,2
123,洛杉矶湖人,1987-01-27,胜,主,开拓者100-107湖人,54.3%,40,30,107,1986,1987-01-24,3
124,洛杉矶湖人,1987-01-28,负,客,超音速125-101湖人,42.9%,38,18,101,1986,1987-01-27,1
125,洛杉矶湖人,1987-01-30,胜,客,太阳102-114湖人,54.3%,34,32,114,1986,1987-01-28,2
126,洛杉矶湖人,1987-02-02,负,主,小牛103-99湖人,44.3%,33,32,99,1986,1987-01-30,3
127,洛杉矶湖人,1987-02-04,胜,主,国王92-128湖人,55.9%,48,34,128,1986,1987-02-02,2
128,洛杉矶湖人,1987-02-05,负,客,开拓者105-104湖人,47.4%,45,25,104,1986,1987-02-04,1
129,洛杉矶湖人,1987-02-10,胜,客,国王98-114湖人,54.4%,53,22,114,1986,1987-02-05,5
130,洛杉矶湖人,1987-02-13,胜,主,步行者108-113湖人,47.6%,40,27,113,1986,1987-02-10,3
131,洛杉矶湖人,1987-02-15,胜,主,凯尔特103-106湖人,48.8%,40,30,106,1986,1987-02-13,2
132,洛杉矶湖人,1987-02-17,负,主,子弹114-99湖人,42.1%,46,27,99,1986,1987-02-15,2
133,洛杉矶湖人,1987-02-18,胜,客,掘金122-128湖人,55.4%,45,28,128,1986,1987-02-17,1
134,洛杉矶湖人,1987-02-20,胜,客,公牛100-110湖人,58.7%,36,30,110,1986,1987-02-18,2
135,洛杉矶湖人,1987-02-22,胜,客,76人110-112湖人,51.0%,47,34,112,1986,1987-02-20,2
136,洛杉矶湖人,1987-02-24,胜,客,太阳93-97湖人,43.4%,47,19,97,1986,1987-02-22,2
137,洛杉矶湖人,1987-02-25,胜,主,太阳91-99湖人,47.7%,42,28,99,1986,1987-02-24,1
138,洛杉矶湖人,1987-02-27,胜,主,勇士109-121湖人,60.5%,44,39,121,1986,1987-02-25,2
139,洛杉矶湖人,1987-02-28,负,客,爵士107-100湖人,40.2%,48,21,100,1986,1987-02-27,1
140,洛杉矶湖人,1987-03-03,胜,客,勇士109-114湖人,53.2%,43,26,114,1986,1987-02-28,3
141,洛杉矶湖人,1987-03-04,胜,主,超音速124-138湖人,62.2%,42,40,138,1986,1987-03-03,1
142,洛杉矶湖人,1987-03-07,胜,主,骑士118-122湖人,54.3%,42,32,122,1986,1987-03-04,3
143,洛杉矶湖人,1987-03-09,胜,客,快船114-136湖人,63.2%,47,37,136,1986,1987-03-07,2
144,洛杉矶湖人,1987-03-10,胜,主,掘金107-143湖人,59.6%,48,40,143,1986,1987-03-09,1
145,洛杉矶湖人,1987-03-12,胜,主,开拓者116-125湖人,51.5%,43,36,125,1986,1987-03-10,2
146,洛杉矶湖人,1987-03-15,胜,主,快船101-115湖人,56.0%,48,30,115,1986,1987-03-12,3
147,洛杉矶湖人,1987-03-18,胜,主,爵士97-111湖人,47.5%,51,26,111,1986,1987-03-15,3
148,洛杉矶湖人,1987-03-20,胜,主,马刺115-147湖人,59.4%,57,42,147,1986,1987-03-18,2
149,洛杉矶湖人,1987-03-22,胜,主,国王121-129湖人,51.0%,51,35,129,1986,1987-03-20,2
150,洛杉矶湖人,1987-03-24,负,客,太阳108-93湖人,36.1%,43,17,93,1986,1987-03-22,2
151,洛杉矶湖人,1987-03-26,胜,主,活塞111-128湖人,50.0%,51,38,128,1986,1987-03-24,2
152,洛杉矶湖人,1987-03-28,胜,客,火箭109-123湖人,58.1%,46,29,123,1986,1987-03-26,2
153,洛杉矶湖人,1987-03-31,胜,主,火箭96-111湖人,51.2%,46,27,111,1986,1987-03-28,3
154,洛杉矶湖人,1987-04-02,胜,客,超音速114-117湖人,49.0%,46,23,117,1986,1987-03-31,2
155,洛杉矶湖人,1987-04-03,胜,客,开拓者121-127湖人,55.2%,34,31,127,1986,1987-04-02,1
156,洛杉矶湖人,1987-04-05,胜,客,掘金118-126湖人,47.5%,51,24,126,1986,1987-04-03,2
157,洛杉矶湖人,1987-04-06,胜,主,快船112-135湖人,59.3%,50,37,135,1986,1987-04-05,1
158,洛杉矶湖人,1987-04-09,胜,客,快船100-118湖人,45.6%,41,26,118,1986,1987-04-06,3
159,洛杉矶湖人,1987-04-10,胜,主,马刺121-131湖人,55.8%,41,38,131,1986,1987-04-09,1
160,洛杉矶湖人,1987-04-12,胜,主,太阳104-119湖人,51.6%,44,37,119,1986,1987-04-10,2
161,洛杉矶湖人,1987-04-16,胜,客,爵士97-110湖人,51.9%,42,24,110,1986,1987-04-12,4
162,洛杉矶湖人,1987-04-17,负,客,马刺115-103湖人,45.1%,35,27,103,1986,1987-04-16,1
163,洛杉矶湖人,1987-04-19,负,主,超音速110-104湖人,40.9%,57,24,104,1986,1987-04-17,2
164,洛杉矶湖人,1987-11-06,胜,主,超音速109-113湖人,48.7%,45,21,113,1987,1987-04-19,201
165,洛杉矶湖人,1987-11-08,胜,主,火箭92-101湖人,46.0%,55,23,101,1987,1987-11-06,2
166,洛杉矶湖人,1987-11-10,胜,客,马刺124-133湖人,55.9%,48,33,133,1987,1987-11-08,2
167,洛杉矶湖人,1987-11-12,胜,主,快船82-111湖人,47.7%,54,29,111,1987,1987-11-10,2
168,洛杉矶湖人,1987-11-14,胜,客,勇士110-118湖人,52.9%,38,26,118,1987,1987-11-12,2
169,洛杉矶湖人,1987-11-15,胜,主,马刺130-147湖人,54.3%,58,37,147,1987,1987-11-14,1
170,洛杉矶湖人,1987-11-17,胜,主,开拓者115-142湖人,57.4%,50,35,142,1987,1987-11-15,2
171,洛杉矶湖人,1987-11-20,胜,主,小牛116-119湖人,58.5%,41,31,119,1987,1987-11-17,3
172,洛杉矶湖人,1987-11-22,负,主,雄鹿124-116湖人,48.5%,45,30,116,1987,1987-11-20,2
173,洛杉矶湖人,1987-11-24,负,客,超音速103-85湖人,38.0%,37,16,85,1987,1987-11-22,2
174,洛杉矶湖人,1987-11-27,胜,主,掘金119-127湖人,54.0%,43,34,127,1987,1987-11-24,3
175,洛杉矶湖人,1987-12-01,胜,客,国王120-125湖人,49.5%,49,25,125,1987,1987-11-27,4
176,洛杉矶湖人,1987-12-02,负,主,开拓者117-104湖人,48.8%,37,30,104,1987,1987-12-01,1
177,洛杉矶湖人,1987-12-04,负,客,雄鹿85-83湖人,45.1%,39,22,83,1987,1987-12-02,2
178,洛杉矶湖人,1987-12-05,负,客,骑士97-95湖人,41.2%,43,22,95,1987,1987-12-04,1
179,洛杉矶湖人,1987-12-08,胜,客,篮网81-98湖人,46.3%,44,21,98,1987,1987-12-05,3
180,洛杉矶湖人,1987-12-09,负,客,子弹120-112湖人,51.7%,43,24,112,1987,1987-12-08,1
181,洛杉矶湖人,1987-12-11,胜,客,凯尔特114-115湖人,55.8%,39,28,115,1987,1987-12-09,2
182,洛杉矶湖人,1987-12-13,胜,主,骑士89-90湖人,45.0%,41,24,90,1987,1987-12-11,2
183,洛杉矶湖人,1987-12-15,胜,主,太阳97-122湖人,51.1%,49,33,122,1987,1987-12-13,2
184,洛杉矶湖人,1987-12-17,胜,客,勇士106-113湖人,48.4%,43,27,113,1987,1987-12-15,2
185,洛杉矶湖人,1987-12-19,胜,客,快船97-108湖人,52.4%,45,24,108,1987,1987-12-17,2
186,洛杉矶湖人,1987-12-20,胜,主,超音速94-103湖人,48.1%,43,29,103,1987,1987-12-19,1
187,洛杉矶湖人,1987-12-23,胜,主,国王103-117湖人,53.0%,48,37,117,1987,1987-12-20,3
188,洛杉矶湖人,1987-12-26,胜,客,爵士109-117湖人,47.9%,45,30,117,1987,1987-12-23,3
189,洛杉矶湖人,1987-12-29,胜,主,76人115-131湖人,55.6%,37,31,131,1987,1987-12-26,3
190,洛杉矶湖人,1988-01-03,胜,客,开拓者81-98湖人,46.3%,44,28,98,1987,1987-12-29,5
191,洛杉矶湖人,1988-01-04,胜,主,马刺115-133湖人,59.3%,48,37,133,1987,1988-01-03,1
192,洛杉矶湖人,1988-01-06,胜,主,小牛89-103湖人,45.5%,36,29,103,1987,1988-01-04,2
193,洛杉矶湖人,1988-01-08,胜,客,活塞104-106湖人,47.1%,42,20,106,1987,1988-01-06,2
194,洛杉矶湖人,1988-01-09,胜,客,步行者98-101湖人,50.0%,46,23,101,1987,1988-01-08,1
195,洛杉矶湖人,1988-01-12,胜,主,勇士113-117湖人,46.9%,58,32,117,1987,1988-01-09,3
196,洛杉矶湖人,1988-01-13,负,客,快船110-109湖人,43.2%,45,27,109,1987,1988-01-12,1
197,洛杉矶湖人,1988-01-16,胜,客,太阳96-107湖人,50.0%,39,29,107,1987,1988-01-13,3
198,洛杉矶湖人,1988-01-18,胜,主,火箭110-121湖人,60.0%,41,34,121,1987,1988-01-16,2
199,洛杉矶湖人,1988-01-21,负,客,掘金115-113湖人,55.1%,44,27,113,1987,1988-01-18,3
200,洛杉矶湖人,1988-01-22,胜,主,尼克斯112-113湖人,46.3%,42,30,113,1987,1988-01-21,1
201,洛杉矶湖人,1988-01-24,胜,客,超音速109-116湖人,51.2%,49,21,116,1987,1988-01-22,2
202,洛杉矶湖人,1988-01-26,胜,主,爵士100-111湖人,43.8%,49,25,111,1987,1988-01-24,2
203,洛杉矶湖人,1988-01-28,胜,客,国王94-115湖人,50.6%,44,26,115,1987,1988-01-26,2
204,洛杉矶湖人,1988-01-29,胜,主,老鹰107-117湖人,53.7%,35,31,117,1987,1988-01-28,1
205,洛杉矶湖人,1988-02-02,胜,主,公牛101-110湖人,57.1%,34,32,110,1987,1988-01-29,4
206,洛杉矶湖人,1988-02-04,胜,客,快船86-117湖人,56.3%,59,39,117,1987,1988-02-02,2
207,洛杉矶湖人,1988-02-09,负,主,步行者110-108湖人,43.0%,38,25,108,1987,1988-02-04,5
208,洛杉矶湖人,1988-02-11,胜,客,掘金108-120湖人,54.7%,44,28,120,1987,1988-02-09,2
209,洛杉矶湖人,1988-02-12,胜,客,马刺132-133湖人,58.5%,35,34,133,1987,1988-02-11,1
210,洛杉矶湖人,1988-02-14,胜,主,凯尔特106-115湖人,50.6%,36,31,115,1987,1988-02-12,2
211,洛杉矶湖人,1988-02-16,胜,主,快船100-119湖人,53.7%,37,30,119,1987,1988-02-14,2
212,洛杉矶湖人,1988-02-18,胜,客,火箭96-111湖人,54.8%,46,20,111,1987,1988-02-16,2
213,洛杉矶湖人,1988-02-19,胜,客,老鹰119-126湖人,48.9%,45,24,126,1987,1988-02-18,1
214,洛杉矶湖人,1988-02-21,胜,主,活塞110-117湖人,47.4%,41,31,117,1987,1988-02-19,2
215,洛杉矶湖人,1988-02-23,胜,主,子弹100-111湖人,47.8%,44,30,111,1987,1988-02-21,2
216,洛杉矶湖人,1988-02-26,胜,主,爵士105-112湖人,44.6%,45,28,112,1987,1988-02-23,3
217,洛杉矶湖人,1988-02-28,胜,主,太阳97-111湖人,56.6%,34,34,111,1987,1988-02-26,2
218,洛杉矶湖人,1988-03-01,负,客,超音速114-100湖人,42.3%,46,18,100,1987,1988-02-28,2
219,洛杉矶湖人,1988-03-04,胜,主,勇士107-120湖人,45.1%,52,34,120,1987,1988-03-01,3
220,洛杉矶湖人,1988-03-06,胜,客,小牛97-108湖人,51.2%,52,32,108,1987,1988-03-04,2
221,洛杉矶湖人,1988-03-07,胜,客,76人104-110湖人,51.9%,39,30,110,1987,1988-03-06,1
222,洛杉矶湖人,1988-03-09,胜,客,尼克斯99-104湖人,43.4%,50,19,104,1987,1988-03-07,2
223,洛杉矶湖人,1988-03-10,负,客,公牛128-107湖人,49.5%,40,23,107,1987,1988-03-09,1
224,洛杉矶湖人,1988-03-12,负,主,小牛110-101湖人,46.1%,44,27,101,1987,1988-03-10,2
225,洛杉矶湖人,1988-03-14,胜,主,篮网105-115湖人,57.5%,34,39,115,1987,1988-03-12,2
226,洛杉矶湖人,1988-03-15,负,客,开拓者112-95湖人,45.0%,38,18,95,1987,1988-03-14,1
227,洛杉矶湖人,1988-03-19,负,客,太阳102-95湖人,47.0%,51,24,95,1987,1988-03-15,4
228,洛杉矶湖人,1988-03-20,胜,客,勇士127-130湖人,59.1%,38,35,130,1987,1988-03-19,1
229,洛杉矶湖人,1988-03-22,胜,主,火箭95-117湖人,51.2%,48,31,117,1987,1988-03-20,2
230,洛杉矶湖人,1988-03-25,负,主,掘金120-119湖人,59.0%,35,40,119,1987,1988-03-22,3
231,洛杉矶湖人,1988-03-26,负,客,国王114-92湖人,44.0%,39,21,92,1987,1988-03-25,1
232,洛杉矶湖人,1988-03-29,胜,主,爵士111-122湖人,52.7%,54,34,122,1987,1988-03-26,3
233,洛杉矶湖人,1988-04-02,负,客,爵士106-92湖人,41.0%,43,19,92,1987,1988-03-29,4
234,洛杉矶湖人,1988-04-03,胜,主,国王104-108湖人,51.1%,36,37,108,1987,1988-04-02,1
235,洛杉矶湖人,1988-04-05,胜,主,超音速90-94湖人,38.2%,38,15,94,1987,1988-04-03,2
236,洛杉矶湖人,1988-04-08,胜,主,快船107-126湖人,53.4%,47,40,126,1987,1988-04-05,3
237,洛杉矶湖人,1988-04-09,负,客,开拓者119-109湖人,55.1%,27,33,109,1987,1988-04-08,1
238,洛杉矶湖人,1988-04-12,胜,主,开拓者103-109湖人,51.8%,52,30,109,1987,1988-04-09,3
239,洛杉矶湖人,1988-04-13,负,客,掘金120-106湖人,46.7%,48,26,106,1987,1988-04-12,1
240,洛杉矶湖人,1988-04-15,胜,主,太阳114-117湖人,52.9%,36,39,117,1987,1988-04-13,2
241,洛杉矶湖人,1988-04-17,负,客,火箭127-119湖人,48.9%,46,25,119,1987,1988-04-15,2
242,洛杉矶湖人,1988-04-19,胜,客,马刺126-133湖人,62.1%,38,23,133,1987,1988-04-17,2
243,洛杉矶湖人,1988-04-20,胜,客,小牛107-114湖人,58.7%,43,37,114,1987,1988-04-19,1
